Date,Close,High,Low,Open,Volume,Dividends,Stock Splits
2025-07-08,118.80284118652344,119.88592141192132,114.26926357404147,114.74850054101023,3753400,0.0,0.0
2025-07-09,116.8283920288086,118.79326659924325,116.47375402613507,117.87313246231918,2245700,0.0,0.0
2025-07-10,116.67503356933594,117.20218983810771,114.8443448709981,116.09994336692937,2703500,0.0,0.0
2025-07-11,117.93063354492188,118.43862355918908,116.080778562496,116.79963401194787,2215900,0.0,0.0
2025-07-14,117.50889587402344,117.89228688739182,116.13827793721985,117.51848266031587,3074500,0.0,0.0
2025-07-15,114.73892211914062,117.71977685601024,114.70058228147887,117.49932461759929,2993300,0.0,0.0
2025-07-16,113.86670684814453,115.10313179406111,112.81237966546244,114.73891432986466,3682400,0.0,0.0
2025-07-17,114.45137786865234,114.6349972316627,113.25303738315961,113.28202836193236,2795600,0.975,0.0
2025-07-18,113.72657775878906,115.6593883886984,113.4849764300504,114.9925663619917,5901900,0.0,0.0
2025-07-21,112.57655334472656,114.17112359284535,112.57655334472656,114.05515230046105,3248000,0.0,0.0
2025-07-22,113.96817016601562,114.43204792503964,112.4315820015175,112.78915459437114,2200000,0.0,0.0
2025-07-23,114.88626098632812,115.05055549312917,113.34001395972568,114.34507637028912,2798100,0.0,0.0
2025-07-24,115.0505599975586,115.67871757730272,114.11314562729864,114.78962642383279,2452100,0.0,0.0
2025-07-25,114.4127197265625,115.32114304293513,113.90052611136078,115.06020949019158,1785300,0.0,0.0
2025-07-28,117.56320190429688,117.63084997789026,115.4371058984858,115.717364309969,2795000,0.0,0.0
2025-07-29,119.0128173828125,119.08046546071542,116.79974830129196,117.90144978318952,2916200,0.0,0.0
2025-07-30,117.1669692993164,118.73254844331197,116.59679374647604,118.12371579607935,2691400,0.0,0.0
2025-07-31,115.98796081542969,118.51994535472797,115.73670074615309,116.24889437525418,2657200,0.0,0.0
2025-08-01,112.682861328125,115.87200190385276,112.03537151895388,115.4467811942657,2689000,0.0,0.0
2025-08-04,113.07909393310547,113.62027857864378,111.95806016953291,112.03537436834918,2300500,0.0,0.0
2025-08-05,113.82321166992188,114.10347008335924,112.39293599737815,113.28202707740122,3035000,0.0,0.0
2025-08-06,112.67318725585938,115.91065081933509,112.18032587518267,114.96357040750335,3050400,0.0,0.0
2025-08-07,112.07402801513672,115.20517923985761,111.85175154365946,113.22405272456507,4400400,0.0,0.0
2025-08-08,112.37361145019531,113.68792329887143,109.55170963460323,112.38327756803358,3969100,0.0,0.0
2025-08-11,112.91478729248047,113.90052478881928,111.18492836151859,112.97277662190966,3043100,0.0,0.0
2025-08-12,114.04549407958984,115.90099052773414,112.7505071144915,113.13707071779342,2902100,0.0,0.0
2025-08-13,115.4564437866211,115.4564437866211,113.5332992805006,114.03582679850506,2951200,0.0,0.0
2025-08-14,115.76568603515625,115.99762123119856,114.2677549451493,114.78961466605972,2246700,0.0,0.0
2025-08-15,114.99256896972656,116.7127692896616,114.9442531267356,115.79468716886988,2944400,0.0,0.0
2025-08-18,113.77490234375,114.54802218117052,113.30135842509726,114.383735045191,2743200,0.0,0.0
2025-08-19,113.37866973876953,114.56735150441996,112.65386576225,113.10807743389621,2425700,0.0,0.0
2025-08-20,114.38372802734375,114.81860744839344,113.09840725229533,113.7845541073071,2527500,0.0,0.0
2025-08-21,114.52869415283203,114.82827743640581,113.40766046589334,114.16145542010307,1853000,0.0,0.0
2025-08-22,117.04135131835938,117.33127586959718,114.8089573423262,115.04089255946387,2245900,0.0,0.0
2025-08-25,117.35060119628906,117.54387931582015,115.67871670730334,116.54848299136852,2092800,0.0,0.0
2025-08-26,117.22496032714844,117.65017362545493,116.2295567215604,116.53880610809556,3191300,0.0,0.0
2025-08-27,118.75188446044922,119.3317335577218,116.82873991555196,116.82873991555196,2195000,0.0,0.0
